sample	before	after
eDNA_01	277990	277554
eDNA_02	279529	276685
eDNA_03	50988	50440
eDNA_04	220901	218018
eDNA_05	229237	229071
eDNA_06	340723	338884
eDNA_07	217825	216388
eDNA_08	240802	240576
eDNA_09	294110	293662
eDNA_10	323608	322286
eDNA_11	331896	327117
eDNA_12	153488	153361
eDNA_13	354830	353044
eDNA_14	369514	367978
eDNA_15	332395	330654
eDNA_16	355712	353352
eDNA_17	205070	202884
eDNA_18	222949	221271
eDNA_19	229511	229169
eDNA_20	306539	303600
eDNA_21	268634	268151
eDNA_22	215017	213041
eDNA_23	38913	37761
eDNA_24	65794	63684
eDNA_25	291523	290922
eDNA_26	279921	275612
eDNA_27	246169	245421
eDNA_28	253293	252957
eDNA_29	228266	226411
eDNA_30	268421	266281
eDNA_31	311852	311350
eDNA_32	257596	256582
eDNA_33	196771	195861
eDNA_34	222319	219939
eDNA_35	240113	239776
eDNA_36	172875	172082
eDNA_37	240002	238230
eDNA_38	230427	230210
eDNA_39	233450	233222
eDNA_40	257450	255943
eDNA_41	85011	84166
eDNA_42	292950	290665
eDNA_43	264064	262267
eDNA_44	161580	161041
eDNA_45	295692	295052
eDNA_46	220722	220237
eDNA_47	230998	229988
eDNA_48	206054	205754
eDNA_49	205022	202894
eDNA_50	218027	215767
eDNA_51	194355	192679
eDNA_52	233637	232260
eDNA_53	220973	220444
eDNA_54	226809	225973
eDNA_55	188586	188241
eDNA_56	203682	203370
eDNA_57	37094	36654
eDNA_58	267500	264605
