sample	treatment	techrep	copies
1	PMA	1	1.69E+06
2	PMA	1	7.06E+06
3	PMA	1	1.84E+07
4	PMA	1	2.49E+07
5	DNase	1	1.71E+06
6	DNase	1	3.48E+05
7	DNase	1	1.04E+05
8	DNase	1	3.84E+05
9	spike	1	4.44E+07
10	spike	1	1.69E+07
11	spike	1	8.83E+07
12	spike	1	3.38E+07
13	control	1	1.99E+05
14	control	1	6.62E+04
15	control	1	3.30E+05
16	control	1	1.88E+05
1	PMA	2	1.18E+06
2	PMA	2	5.61E+06
3	PMA	2	2.05E+07
4	PMA	2	2.14E+07
5	DNase	2	9.48E+05
6	DNase	2	5.30E+05
7	DNase	2	1.80E+05
8	DNase	2	3.48E+05
9	spike	2	1.73E+07
10	spike	2	1.71E+07
11	spike	2	1.20E+08
12	spike	2	3.18E+07
13	control	2	1.60E+05
14	control	2	4.33E+04
15	control	2	7.02E+05
16	control	2	2.49E+05
1	PMA	3	1.34E+06
2	PMA	3	4.63E+06
3	PMA	3	1.30E+07
4	PMA	3	2.28E+07
5	DNase	3	8.72E+05
6	DNase	3	1.08E+06
7	DNase	3	2.73E+05
8	DNase	3	5.45E+05
9	spike	3	1.06E+07
10	spike	3	2.14E+07
11	spike	3	7.76E+07
12	spike	3	4.35E+07
13	control	3	1.78E+05
14	control	3	4.21E+04
15	control	3	7.29E+05
16	control	3	2.06E+05
