sample	sample_ID	sample_name	env	treat	rep	copies.raw	copies.ext.factor	super.vol	sub.vol
1	Gull F1 Control	Gull	water	C	1	1283333	50	1.4	0.4
1	Gull F2 Control	Gull	water	C	2	1021667	50	1.4	0.4
1	Gull F1 DNase	Gull	water	E	1	626333	50	1.4	0.4
1	Gull F2 DNase	Gull	water	E	2	845333	50	1.4	0.4
2	Pond C1 Control 1	KelloggDrain	sed	C	1	18533333	500	1.5	0.4
2	Pond C1 Control 2	KelloggDrain	sed	C	2	16400000	500	1.5	0.4
2	Pond C1 DNase 1	KelloggDrain	sed	E	1	8926667	500	1.5	0.4
2	Pond C1 DNase 2	KelloggDrain	sed	E	2	8436667	500	1.5	0.4
3	Creek F1 Control	Augusta	water	C	1	692333	50	1.4	0.4
3	Creek F2 Control	Augusta	water	C	2	760333	50	1.4	0.4
3	Creek F1 DNase	Augusta	water	E	1	298667	50	1.4	0.4
3	Creek F2 DNase	Augusta	water	E	2	314667	50	1.4	0.4
4	Pond F1 Control	KelloggDrain	water	C	1	2843333	50	1.4	0.4
4	Pond F2 Control	KelloggDrain	water	C	2	2623333	50	1.4	0.4
4	Pond F1 DNase	KelloggDrain	water	E	1	1853333	50	1.4	0.4
4	Pond F2 DNase	KelloggDrain	water	E	2	1630000	50	1.4	0.4
5	DF C1 Control 1	DF	soil	C	1	16400000	500	1.5	0.4
5	DF C1 Control 2	DF	soil	C	2	17633333	500	1.5	0.4
5	DF C1 DNase 1	DF	soil	E	1	14100000	500	1.5	0.4
5	DF C1 DNase 2	DF	soil	E	2	10533333	500	1.5	0.4
6	T7 r6 Control 1 8/14	T7	soil	C	1	2436667	500	1.5	0.4
6	T7 r6 Control 2 8/14	T7	soil	C	2	4016667	500	1.5	0.4
6	T7 r6 DNase 1 8/14	T7	soil	C	1	2950000	500	1.5	0.4
6	T7 r6 DNase 2 8/14	T7	soil	C	2	3146667	500	1.5	0.4
7	Gull C1 Control	Gull	sed	C	1	2106667	500	1.5	0.4
7	Gull C2 Control	Gull	sed	C	2	1060000	500	1.5	0.4
7	Gull C1 DNase	Gull	sed	E	1	609667	500	1.5	0.4
7	Gull C2 DNase	Gull	sed	E	2	504000	500	1.5	0.4
8	WL F1 Control	Wintergreen	water	C	1	8280000	50	1.4	0.4
8	WL F2 Control	Wintergreen	water	C	2	6600000	50	1.4	0.4
8	WL F1 DNase	Wintergreen	water	E	1	5850000	50	1.4	0.4
8	WL F2 DNase	Wintergreen	water	E	2	3973333	50	1.4	0.4
9	WL C1 Control	Wintergreen	sed	C	1	1573333	50	1.4	0.4
9	WL C2 Control	Wintergreen	sed	C	2	2016667	50	1.4	0.4
9	WL C1 DNase	Wintergreen	sed	E	1	1353333	50	1.4	0.4
9	WL C2 DNase	Wintergreen	sed	E	2	1213333	50	1.4	0.4
10	Austin F1 Control	Austin	water	C	1	1563333	50	1.4	0.4
10	Austin F2 Control	Austin	water	C	2	1720000	50	1.4	0.4
10	Austin F1 DNase	Austin	water	E	1	1040333	50	1.4	0.4
10	Austin F2 DNase	Austin	water	E	2	1175667	50	1.4	0.4
11	Austin Core 1 Control	Austin	sed	C	1	661333	50	1.5	0.4
11	Austin Core 2 Control	Austin	sed	C	2	2230000	50	1.5	0.4
11	Austin Core 1 DNase	Austin	sed	E	1	563667	50	1.5	0.4
11	Austin Core 2 DNase	Austin	sed	E	2	1173333	50	1.5	0.4
12	Woods F1 Control	Woods	water	C	1	4553333	50	1.4	0.4
12	Woods F2 Control	Woods	water	C	2	4976667	50	1.4	0.4
12	Woods F1 DNase	Woods	water	E	1	3563333	50	1.4	0.4
12	Woods F2 DNase	Woods	water	E	2	4106667	50	1.4	0.4
13	Woods C1 Control	Woods	sed	C	1	574667	50	1.4	0.4
13	Woods C2 Control	Woods	sed	C	2	586667	50	1.4	0.4
13	Woods C1 DNase	Woods	sed	E	1	237333	50	1.4	0.4
13	Woods C2 DNase	Woods	sed	E	2	288667	50	1.4	0.4
14	Crooked F1 Control	Crooked	water	C	1	4195000	50	1.4	0.4
14	Crooked F2 Control	Crooked	water	C	2	4536667	50	1.4	0.4
14	Crooked F1 DNase	Crooked	water	E	1	2050000	50	1.4	0.4
14	Crooked F2 DNase	Crooked	water	E	2	2720000	50	1.4	0.4
15	Crooked Control 1	Crooked	sed	C	1	1203333	50	1.4	0.4
15	Crooked Control 2	Crooked	sed	C	2	1000333	50	1.4	0.4
15	Crooked DNase 1	Crooked	sed	E	1	1057667	50	1.4	0.4
15	Crooked DNase 2	Crooked	sed	E	2	1009667	50	1.4	0.4
16	Sherman C1 Control	Sherman	sed	C	1	1790000	50	1.4	0.4
16	Sherman C2 Control	Sherman	sed	C	2	911000	50	1.4	0.4
