"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"eDNA_01"	0.025	0.025	0.024	0.025	0.025	0.025	0.024	0.025	0.024	0.024	0.024	0.026	0.025	0.025	0.025	0.024	0.025	0.025	0.025	0.025	0.025	0.025	0.024	0.025	0.025	0.026	0.024	0.024	0.024	0.026	0.025	0.025	0.025	0.026	0.026	0.026	0.025	0.024	0.025	0.025	0.024	0.025	0.025	0.025	0.024	0.025	0.025	0.024	0.026	0.024	0.025	0.025	0.024	0.025	0.025	0.024	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.024	0.024	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.024	0.025	0.025	0.026	0.025	0.025	0.025	0.025	0.025	0.026	0.024	0.024	0.026	0.025	0.024	0.024	0.025	0.024	0.025	0.025	0.026	0.024	0.026
"eDNA_02"	0.079	0.081	0.082	0.081	0.079	0.08	0.083	0.079	0.081	0.08	0.08	0.082	0.079	0.08	0.078	0.082	0.08	0.079	0.079	0.079	0.081	0.081	0.083	0.081	0.08	0.08	0.08	0.079	0.081	0.08	0.082	0.081	0.079	0.081	0.08	0.08	0.083	0.078	0.082	0.08	0.082	0.081	0.08	0.08	0.08	0.08	0.077	0.079	0.08	0.08	0.08	0.081	0.082	0.081	0.079	0.077	0.08	0.081	0.079	0.08	0.081	0.081	0.082	0.081	0.08	0.08	0.079	0.081	0.08	0.079	0.08	0.08	0.08	0.082	0.081	0.081	0.08	0.08	0.08	0.08	0.079	0.08	0.082	0.08	0.08	0.078	0.078	0.081	0.081	0.082	0.081	0.08	0.08	0.08	0.079	0.08	0.082	0.08	0.08	0.082
"eDNA_03"	0.118	0.117	0.115	0.114	0.116	0.118	0.117	0.116	0.116	0.118	0.116	0.118	0.116	0.119	0.118	0.115	0.114	0.117	0.115	0.116	0.117	0.118	0.117	0.116	0.117	0.116	0.116	0.117	0.115	0.116	0.116	0.118	0.113	0.116	0.116	0.115	0.117	0.115	0.116	0.117	0.115	0.116	0.116	0.118	0.117	0.115	0.114	0.116	0.116	0.115	0.118	0.116	0.115	0.114	0.117	0.118	0.116	0.118	0.116	0.115	0.115	0.117	0.118	0.114	0.117	0.115	0.114	0.117	0.117	0.115	0.116	0.117	0.118	0.116	0.115	0.116	0.116	0.115	0.116	0.116	0.116	0.117	0.116	0.116	0.117	0.114	0.115	0.115	0.116	0.115	0.117	0.116	0.116	0.117	0.116	0.117	0.116	0.117	0.115	0.114
"eDNA_04"	0.061	0.063	0.061	0.06	0.065	0.061	0.063	0.062	0.06	0.062	0.062	0.062	0.067	0.061	0.063	0.063	0.064	0.064	0.061	0.064	0.063	0.063	0.063	0.063	0.063	0.063	0.062	0.061	0.061	0.065	0.061	0.06	0.063	0.064	0.064	0.064	0.063	0.063	0.064	0.062	0.063	0.062	0.064	0.063	0.063	0.059	0.064	0.061	0.064	0.06	0.064	0.061	0.065	0.06	0.06	0.062	0.061	0.061	0.062	0.062	0.063	0.063	0.06	0.061	0.061	0.067	0.061	0.063	0.064	0.064	0.063	0.062	0.061	0.06	0.062	0.062	0.064	0.061	0.061	0.064	0.064	0.062	0.063	0.063	0.064	0.063	0.064	0.063	0.061	0.06	0.064	0.062	0.058	0.062	0.063	0.063	0.062	0.063	0.063	0.062
"eDNA_05"	0.011	0.011	0.011	0.01	0.01	0.011	0.011	0.01	0.01	0.011	0.011	0.011	0.01	0.011	0.01	0.011	0.011	0.011	0.01	0.01	0.01	0.011	0.01	0.011	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.01	0.011	0.01	0.011	0.01	0.01	0.01	0.011	0.01	0.011	0.01	0.01	0.011	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.01	0.011	0.01	0.01	0.01	0.01	0.011	0.01	0.011	0.011	0.01	0.011	0.01	0.01	0.01	0.01	0.011	0.01	0.011	0.011	0.011	0.011	0.011
"eDNA_06"	0.023	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.023	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.023	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.023	0.022	0.022	0.021	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.023	0.023	0.022	0.021	0.022	0.022	0.022	0.022	0.023	0.023	0.022	0.022	0.021	0.022	0.022	0.022	0.022	0.022	0.023	0.022	0.022	0.022	0.023	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.023	0.021	0.021	0.023	0.023	0.023	0.022	0.022	0.023	0.022	0.022	0.022	0.023	0.023	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022	0.022
"eDNA_07"	0.087	0.091	0.088	0.089	0.089	0.087	0.09	0.09	0.089	0.091	0.089	0.089	0.087	0.089	0.089	0.089	0.09	0.09	0.09	0.089	0.089	0.086	0.09	0.091	0.09	0.092	0.088	0.089	0.093	0.087	0.09	0.088	0.091	0.09	0.089	0.088	0.09	0.088	0.091	0.091	0.092	0.089	0.09	0.093	0.09	0.088	0.089	0.086	0.09	0.089	0.088	0.087	0.089	0.087	0.091	0.091	0.09	0.088	0.09	0.092	0.091	0.089	0.089	0.089	0.089	0.087	0.091	0.09	0.088	0.091	0.089	0.09	0.09	0.092	0.092	0.09	0.09	0.088	0.09	0.088	0.088	0.092	0.089	0.09	0.088	0.09	0.09	0.09	0.089	0.09	0.09	0.089	0.091	0.091	0.087	0.089	0.09	0.09	0.09	0.088
"eDNA_08"	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.01	0.01	0.01	0.011	0.01	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.01	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.011	0.01
"eDNA_09"	0.028	0.027	0.027	0.028	0.027	0.027	0.028	0.027	0.027	0.028	0.028	0.027	0.027	0.028	0.027	0.026	0.027	0.026	0.026	0.028	0.027	0.027	0.027	0.028	0.027	0.027	0.027	0.027	0.027	0.027	0.028	0.027	0.027	0.027	0.026	0.027	0.027	0.028	0.027	0.028	0.027	0.028	0.026	0.028	0.027	0.027	0.027	0.027	0.026	0.027	0.027	0.028	0.027	0.026	0.027	0.027	0.027	0.027	0.026	0.027	0.027	0.026	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.026	0.026	0.028	0.027	0.026	0.027	0.027	0.027	0.028	0.027	0.027	0.027	0.028	0.027	0.027	0.027	0.026	0.027	0.027	0.028	0.026	0.027	0.026	0.027	0.027	0.027	0.027	0.027
"eDNA_10"	0.025	0.024	0.024	0.024	0.024	0.024	0.023	0.025	0.025	0.024	0.025	0.024	0.024	0.024	0.025	0.024	0.024	0.025	0.024	0.025	0.025	0.025	0.023	0.023	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.025	0.024	0.023	0.024	0.024	0.024	0.024	0.025	0.024	0.023	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.025	0.024	0.025	0.024	0.024	0.023	0.025	0.025	0.024	0.024	0.024	0.025	0.024	0.025	0.025	0.023	0.025	0.024	0.023	0.025	0.024	0.024	0.025	0.025	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.023	0.024	0.024	0.025	0.024	0.024	0.024	0.025	0.024	0.025	0.024	0.024	0.023	0.024	0.024
