"PD"	"SR"
"eDNA_01"	243.47052	1000
"eDNA_02"	629.75906	4846
"eDNA_03"	386.47094	2179
"eDNA_04"	574.99438	3562
"eDNA_05"	219.65818	889
"eDNA_06"	217.32138	2202
"eDNA_07"	715.46651	5262
"eDNA_08"	235.59444	941
"eDNA_09"	265.5682	1176
"eDNA_10"	155.16998	1364
"eDNA_11"	49.24061	360
"eDNA_12"	135.31639	505
"eDNA_13"	161.81908	1408
"eDNA_14"	221.66152	2216
"eDNA_15"	229.68664	2415
"eDNA_16"	249.07332	2549
"eDNA_17"	520.3558	3321
"eDNA_18"	557.96999	4382
"eDNA_19"	165.80407	616
"eDNA_20"	587.36999	4635
"eDNA_21"	256.5947	1217
"eDNA_22"	738.88158	5130
"eDNA_23"	458.87919	2392
"eDNA_24"	555.67269	3092
"eDNA_25"	243.60077	1972
"eDNA_26"	62.99626	392
"eDNA_27"	330.90012	2418
"eDNA_28"	331.83249	1478
"eDNA_29"	454.43357	3393
"eDNA_30"	439.93622	3338
"eDNA_31"	225.52717	1945
"eDNA_32"	240.89684	2107
"eDNA_33"	318.92058	2396
"eDNA_34"	745.85515	5339
"eDNA_35"	322.01514	1416
"eDNA_36"	366.13047	2662
"eDNA_37"	323.64605	2475
"eDNA_38"	265.08603	1156
"eDNA_39"	304.88755	1383
"eDNA_40"	51.45525	307
"eDNA_41"	431.09942	2749
"eDNA_42"	362.88833	2756
"eDNA_43"	341.2466	2598
"eDNA_44"	352.82084	1821
"eDNA_45"	240.06394	2088
"eDNA_46"	250.52436	1051
"eDNA_47"	300.82735	2139
"eDNA_48"	141.23536	1058
"eDNA_49"	700.50748	5253
"eDNA_50"	681.88824	4428
"eDNA_51"	549.52494	3481
"eDNA_52"	606.91177	4564
"eDNA_53"	311.76262	2192
"eDNA_54"	50.34719	258
"eDNA_55"	256.8018	1065
"eDNA_56"	139.59198	1140
"eDNA_57"	410.74551	2221
"eDNA_58"	676.40862	4423
