"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"eDNA_01"	985	1012	992	995	1023	993	976	994	1011	1003	1020	973	970	1001	991	991	1045	995	997	996	995	985	954	979	990	1000	1024	989	941	992	980	1014	1002	973	993	980	1001	1009	997	1021	1000	989	1003	1009	982	1011	995	957	1028	997	1008	966	984	1004	984	993	1035	1016	990	1011	985	999	1040	1011	1026	992	978	988	988	1011	1020	1000	1009	1011	987	1008	976	980	965	980	976	985	1022	977	1023	998	1005	1031	991	1008	1032	995	999	989	971	993	1010	1010	964	963
"eDNA_02"	4796	4706	4785	4738	4777	4810	4762	4821	4745	4795	4765	4755	4765	4770	4780	4770	4772	4788	4832	4762	4758	4808	4788	4831	4836	4802	4779	4808	4796	4823	4792	4828	4791	4736	4839	4772	4802	4753	4782	4811	4694	4839	4769	4733	4810	4825	4838	4803	4721	4782	4768	4846	4842	4711	4841	4902	4801	4768	4821	4809	4760	4871	4719	4783	4789	4784	4816	4748	4716	4809	4823	4791	4837	4870	4795	4759	4777	4788	4777	4870	4796	4794	4808	4711	4782	4765	4754	4820	4783	4747	4747	4807	4749	4784	4802	4766	4758	4809	4698	4788
"eDNA_03"	2176	2160	2163	2157	2153	2161	2150	2182	2140	2147	2150	2154	2141	2167	2166	2157	2172	2139	2147	2161	2161	2149	2153	2170	2180	2161	2164	2144	2158	2151	2181	2174	2150	2168	2159	2170	2163	2158	2174	2156	2166	2161	2150	2163	2189	2154	2149	2158	2177	2168	2137	2174	2155	2171	2175	2177	2167	2175	2183	2162	2179	2187	2171	2180	2150	2157	2164	2175	2148	2168	2155	2170	2172	2150	2157	2155	2172	2151	2167	2149	2173	2156	2156	2161	2171	2166	2169	2164	2157	2167	2159	2167	2143	2159	2151	2172	2150	2163	2166	2147
"eDNA_04"	3538	3549	3542	3519	3544	3536	3562	3569	3550	3554	3560	3604	3542	3502	3559	3523	3558	3541	3539	3543	3576	3485	3491	3611	3566	3553	3585	3605	3532	3537	3502	3587	3521	3556	3490	3532	3570	3539	3578	3566	3523	3558	3486	3545	3532	3586	3545	3589	3562	3508	3546	3584	3526	3564	3556	3546	3598	3572	3516	3519	3526	3537	3554	3537	3561	3531	3536	3534	3550	3499	3500	3509	3601	3542	3616	3582	3509	3549	3578	3483	3523	3570	3538	3550	3525	3572	3533	3573	3550	3536	3567	3527	3571	3558	3527	3507	3510	3547	3581	3565
"eDNA_05"	884	905	927	897	919	914	907	896	912	858	890	901	904	903	883	903	872	927	919	896	934	885	902	895	883	937	893	895	920	878	902	920	916	894	900	886	911	867	896	854	911	933	902	900	916	899	908	872	935	929	865	901	905	925	895	908	906	878	872	875	891	872	893	899	876	898	888	903	883	905	935	900	899	943	905	877	878	884	897	897	891	908	913	905	884	883	927	923	873	934	914	909	917	925	924	927	913	881	916	917
"eDNA_06"	2206	2183	2245	2220	2211	2181	2202	2187	2269	2177	2174	2199	2172	2226	2161	2234	2176	2191	2178	2180	2225	2189	2193	2216	2227	2172	2173	2232	2205	2217	2169	2206	2198	2207	2207	2176	2160	2223	2238	2233	2229	2205	2203	2204	2201	2201	2202	2168	2225	2228	2182	2204	2167	2200	2202	2194	2182	2166	2270	2207	2197	2247	2161	2164	2220	2215	2196	2214	2184	2195	2196	2243	2191	2216	2194	2191	2203	2173	2183	2203	2146	2224	2183	2227	2228	2180	2153	2219	2194	2217	2206	2196	2190	2212	2178	2200	2196	2192	2181	2216
"eDNA_07"	5256	5221	5305	5238	5308	5275	5260	5342	5283	5246	5250	5309	5254	5228	5297	5292	5248	5278	5395	5222	5234	5231	5215	5277	5215	5276	5237	5320	5267	5300	5259	5238	5276	5287	5225	5248	5280	5282	5306	5235	5322	5202	5278	5304	5302	5253	5293	5239	5227	5239	5237	5231	5197	5284	5299	5184	5301	5250	5254	5272	5245	5266	5256	5280	5285	5269	5207	5212	5298	5277	5227	5295	5266	5200	5225	5229	5251	5202	5319	5274	5244	5271	5297	5261	5254	5324	5239	5190	5252	5281	5266	5284	5209	5290	5216	5283	5241	5244	5264	5263
"eDNA_08"	962	975	965	986	989	954	967	959	950	956	928	997	965	982	949	958	943	974	966	997	927	939	979	945	952	985	950	961	941	982	956	958	952	927	958	955	978	979	967	975	956	946	989	960	980	971	961	942	964	937	969	955	967	936	924	972	953	956	974	987	939	938	965	995	989	960	974	977	958	951	948	939	965	963	969	966	946	987	972	978	973	995	944	948	946	940	966	937	975	954	927	966	977	970	1026	932	933	958	963	981
"eDNA_09"	1152	1163	1180	1202	1176	1195	1189	1188	1204	1204	1161	1180	1192	1185	1175	1200	1196	1181	1165	1187	1207	1185	1169	1177	1182	1232	1213	1200	1203	1193	1198	1213	1217	1142	1191	1159	1208	1193	1181	1187	1172	1189	1144	1176	1211	1180	1193	1177	1200	1187	1194	1186	1170	1175	1163	1209	1181	1188	1197	1165	1191	1197	1202	1196	1194	1221	1171	1203	1210	1177	1181	1176	1191	1200	1177	1171	1191	1184	1179	1173	1152	1190	1166	1201	1178	1184	1180	1189	1209	1172	1184	1191	1151	1147	1191	1189	1192	1156	1200	1205
"eDNA_10"	1413	1387	1400	1414	1369	1407	1417	1409	1367	1386	1388	1400	1352	1359	1382	1394	1384	1401	1361	1384	1362	1368	1367	1408	1406	1392	1409	1386	1400	1377	1431	1361	1407	1352	1371	1401	1355	1441	1414	1344	1388	1380	1397	1383	1340	1376	1365	1356	1418	1374	1371	1394	1392	1397	1377	1415	1398	1375	1386	1419	1411	1386	1354	1411	1381	1372	1410	1385	1410	1379	1378	1389	1378	1397	1423	1386	1401	1370	1354	1417	1366	1413	1432	1399	1399	1422	1375	1422	1397	1391	1409	1391	1436	1333	1436	1382	1367	1350	1392	1400
