Sample	Molecule	Time	Pond	MolTime	Loading
Pond_10_PreDNA	DNA	Pre	10	DNA_Pre	0
Pond_10_PrecDNA	RNA	Pre	10	RNA_Pre	0
Pond_13_PreDNA	DNA	Pre	13	DNA_Pre	184
Pond_13_PrecDNA	RNA	Pre	13	RNA_Pre	184
Pond_14_PreDNA	DNA	Pre	14	DNA_Pre	201
Pond_14_PrecDNA	RNA	Pre	14	RNA_Pre	201
Pond_15_PreDNA	DNA	Pre	15	DNA_Pre	133
Pond_15_PrecDNA	RNA	Pre	15	RNA_Pre	133
Pond_16_PreDNA	DNA	Pre	16	DNA_Pre	212
Pond_16_PrecDNA	RNA	Pre	16	RNA_Pre	212
Pond_3_PreDNA	DNA	Pre	3	DNA_Pre	25
Pond_3_PrecDNA	RNA	Pre	3	RNA_Pre	25
Pond_4_PreDNA	DNA	Pre	4	DNA_Pre	115
Pond_4_PrecDNA	RNA	Pre	4	RNA_Pre	115
Pond_5_PreDNA	DNA	Pre	5	DNA_Pre	0
Pond_5_PrecDNA	RNA	Pre	5	RNA_Pre	0
Pond_7_PreDNA	DNA	Pre	7	DNA_Pre	151
Pond_7_PrecDNA	RNA	Pre	7	RNA_Pre	151
Pond_8_PreDNA	DNA	Pre	8	DNA_Pre	84
Pond_8_PrecDNA	RNA	Pre	8	RNA_Pre	84
Pond_9_PreDNA	DNA	Pre	9	DNA_Pre	55
Pond_9_PrecDNA	RNA	Pre	9	RNA_Pre	55
Pond_10_PostDNA	DNA	Post	10	DNA_Post	0
Pond_10_PostcDNA	RNA	Post	10	RNA_Post	0
Pond_13_PostDNA	DNA	Post	13	DNA_Post	184
Pond_13_PostcDNA	RNA	Post	13	RNA_Post	184
Pond_14_PostDNA	DNA	Post	14	DNA_Post	201
Pond_14_PostcDNA	RNA	Post	14	RNA_Post	201
Pond_15_PostDNA	DNA	Post	15	DNA_Post	133
Pond_15_PostcDNA	RNA	Post	15	RNA_Post	133
Pond_16_PostDNA	DNA	Post	16	NA_Post	212
Pond_16_PostcDNA	RNA	Post	16	RNA_Post	212
Pond_3_PostDNA	DNA	Post	3	DNA_Post	25
Pond_3_PostcDNA	RNA	Post	3	RNA_Post	25
Pond_4_PostDNA	DNA	Post	4	DNA_Post	115
Pond_4_PostcDNA	RNA	Post	4	RNA_Post	115
Pond_5_PostDNA	DNA	Post	5	DNA_Post	0
Pond_5_PostcDNA	RNA	Post	5	RNA_Post	0
Pond_7_PostDNA	DNA	Post	7	DNA_Post	151
Pond_7_PostcDNA	RNA	Post	7	RNA_Post	151
Pond_8_PostDNA	DNA	Post	8	DNA_Post	84
Pond_8_PostcDNA	RNA	Post	8	RNA_Post	84
Pond_9_PostDNA	DNA	Post	9	DNA_Post	55
Pond_9_PostcDNA	RNA	Post	9	RNA_Post	55
